6ZQllZ1cIDtngehy5+DAPg;100;3000;432600;dec/MIPLIB/miplib2010/eilB101.0.s.opb;11357154;1838619;643327821;716.95;8.55;1600055;68684;169880;-;;
trLsQLbphiwJZdelitMNfA;100;3000;416580;dec/MIPLIB/miplib2010/eilB101.0.u.opb;11497402;1888585;699756193;669.23;11.75;1601625;86013;200947;-;;
cQUV9BvzkfytEXGdQoK+dg;10;0.030000000000000027;10844;dec/MIPLIB/miplib2010/ex1010-pi.0.d.opb;24559;0;641;0.00;0.00;0;0;0;-;;
--riHhIT7DcRSExiUXO5AQ;10;0.56;12800;dec/MIPLIB/miplib2010/ex9.0.s.opb;192;7;23148;193.43;1.00;7;0;0;-;;
syGsj9tnjN4dViHvvY5-aQ;20;0.5800000000000001;16248;dec/MIPLIB/miplib2010/ex9.0.u.opb;1407;246;317851;190.30;2.73;242;4;0;-;;
tIXmDGouyDboyIb6xCnYGw;100;3000;92904;dec/MIPLIB/miplib2010/f2000.0.d.opb;9358121;5602207;2312168309;86.63;1.00;5602207;0;0;-;;
CbPGFE0fKwjSQlMWlE17AQ;100;3000;81848;dec/MIPLIB/miplib2010/go19.0.s.opb;1752849;772751;47228566;80.16;36.87;327312;142809;302630;-;;
rKHi2vlcVcUxOfU+8C7tfg;100;3000;80416;dec/MIPLIB/miplib2010/go19.0.u.opb;1749775;862925;39404500;75.07;27.26;508571;229025;125329;-;;
djHc2p9L1FmIy8FjD10T3w;10;3.6799999999999997;12808;dec/MIPLIB/miplib2010/hanoi5.0.s.opb;51311;23957;3859712;25.68;1.00;23957;0;0;-;;
Ueb+paoWhXCSg7HUCy1fUg;20;2.98;12848;dec/MIPLIB/miplib2010/hanoi5.0.u.opb;51495;24096;3881969;25.85;1.00;24096;0;0;-;;
li4QMV-Zijb7t6FtbiPO2Q;10;48.66;18076;dec/MIPLIB/miplib2010/iis-100-0-cov.0.s.opb;115255;72890;1605969;40.47;10.58;44881;4119;23890;-;;
wacyPQNMCdQLNz6dw7LS2A;100;3000;45588;dec/MIPLIB/miplib2010/iis-100-0-cov.0.u.opb;1487563;977008;25269698;36.33;7.88;660696;32719;283593;-;;
2GWPA66Mt0UZ6MnZ5-EocQ;100;3000;97808;dec/MIPLIB/miplib2010/iis-bupa-cov.0.s.opb;1737769;427291;38642198;110.92;86.24;211093;15179;201019;-;;
4dnikYwA5L0n2MM73eP3Sg;100;3000;98680;dec/MIPLIB/miplib2010/iis-bupa-cov.0.u.opb;1751148;423161;39491007;107.85;84.19;213023;12002;198136;-;;
4h4r47EE-zWOxMlFSMA+PQ;100;3000;178484;dec/MIPLIB/miplib2010/iis-pima-cov.0.s.opb;2466994;264070;58709917;232.04;241.68;132591;10250;121229;-;;
iBgvRlzhYffH4mTVJBM9LA;100;3000;173232;dec/MIPLIB/miplib2010/iis-pima-cov.0.u.opb;2645039;285764;67651070;219.90;218.53;153741;13275;118748;-;;
QYTbOHl8yZl2DAU0zYcY+A;10;90.6;1194796;dec/MIPLIB/miplib2010/ivu06-big.0.d.opb;1865799;238;14034268;94591.97;45278.48;1;137;100;-;;
0uXmxNaLmnHNuk5yXvGLLA;100;3000;293608;dec/MIPLIB/miplib2010/ivu52.0.s.opb;1132687;76438;3256729232;1719.98;2.29;75982;132;324;-;;
ASIkwxNGSNoyX67IMvJeZw;100;3000;1651968;dec/MIPLIB/miplib2010/ivu52.0.u.opb;2775458;45959;1490293941;6732.29;7771.79;37374;135;8450;-;;
SEHuGeULhLrfWpk39L7eGg;10;25.23;57156;dec/MIPLIB/miplib2010/lectsched-1-obj.482.d.opb;199194;2900;3719502;19.65;5.15;2816;6;78;-;;
e5NkrLe1xp8hQ6QdXz0pMQ;10;25.13;57224;dec/MIPLIB/miplib2010/lectsched-1.482.s.opb;199194;2900;3719502;19.65;5.15;2816;6;78;-;;
1nCNEN9ZcIOQQERla3Vquw;20;0.030000000000000027;2148;dec/MIPLIB/miplib2010/lectsched-1.482.u.opb;0;0;0;0.00;0.00;0;0;0;-;;
-zXhXbbkRw4Uv5HsIAaQrg;10;10.66;37428;dec/MIPLIB/miplib2010/lectsched-2.369.s.opb;422666;1412;1799289;14.91;3.74;1374;0;38;-;;
3IS+MNL0EQGfpdRRn1o0ag;20;0.020000000000000018;2052;dec/MIPLIB/miplib2010/lectsched-2.369.u.opb;0;0;0;0.00;0.00;0;0;0;-;;
o+zW9DLrnCKW2Vdo6V2Ffw;10;22.27;51384;dec/MIPLIB/miplib2010/lectsched-3.457.s.opb;474575;2212;3191968;17.33;2.75;2176;1;35;-;;
ITcIzbIbbCsJn7Rqs+KbJA;20;0.030000000000000027;2120;dec/MIPLIB/miplib2010/lectsched-3.457.u.opb;0;0;0;0.00;0.00;0;0;0;-;;
qFlQForST1nUdqcYESusQg;10;3.2699999999999996;20708;dec/MIPLIB/miplib2010/lectsched-4-obj.236.s.opb;56535;1025;717650;18.55;4.00;1001;4;20;-;;
EcTbPrywtNbCcm07OBm5JA;20;2.59;20712;dec/MIPLIB/miplib2010/lectsched-4-obj.236.u.opb;48733;819;613797;13.99;4.15;799;2;18;-;;
56lSgfa1BVA4tzXPKNx8Sg;100;3000;137256;dec/MIPLIB/miplib2010/m100n500k4r1.0.s.opb;1077355;656101;21650570;277.22;15.68;367018;103023;186060;-;;
kJ+tXPB2ZyE9WENHQscsUg;100;3000;125404;dec/MIPLIB/miplib2010/m100n500k4r1.0.u.opb;937123;589689;25956916;257.68;18.09;324298;58938;206453;-;;
7Edw9tDcDEkneiUi-rCmkw;100;3000;193088;dec/MIPLIB/miplib2010/macrophage.0.s.opb;4773845;446702;92261017;323.94;177.28;221742;6827;218133;-;;
xCb9OZ7PsLDkLTt6S8qCOQ;100;3000;174456;dec/MIPLIB/miplib2010/macrophage.0.u.opb;2881766;290048;59977159;375.18;188.75;96234;6132;187682;-;;
0abViOHysJZNIKL3YSvc9w;10;0.030000000000000027;2048;dec/MIPLIB/miplib2010/methanosarcina.0.d.opb;6719;6;4729;3.83;1.00;6;0;0;-;;
WTZM0j66jWBjYiG2p6F5Ag;100;3000;370040;dec/MIPLIB/miplib2010/mine-166-5.0.s.opb;10160820;8164843;316955989;335.76;1.00;8164266;0;577;-;;
3Ol0Ob08Q0G3GmuukeuxXw;100;3000;352976;dec/MIPLIB/miplib2010/mine-166-5.0.u.opb;10122461;8147802;309806281;331.41;1.00;8147068;0;734;-;;
Xrk-9P0Rt0YURriUkN2Pbg;100;3000;303940;dec/MIPLIB/miplib2010/mine-90-10.0.s.opb;12030322;9267370;394170132;249.61;1.00;9262567;0;4803;-;;
FTTXXjomAi0IQJsGnt5d3A;100;3000;301268;dec/MIPLIB/miplib2010/mine-90-10.0.u.opb;11828286;9095244;397156393;258.24;1.00;9090723;0;4521;-;;
kT2R8K9zy5O6ZmEPqX3KqQ;10;18.45;392088;dec/MIPLIB/miplib2010/mspp16.0.s.opb;10433;313;117127;585.01;467.51;165;116;32;-;;
6MJ+3g7GVtbV2I3AiIdpkg;20;23.03;411332;dec/MIPLIB/miplib2010/mspp16.0.u.opb;31696;2106;1034990;467.90;364.04;1139;619;348;-;;
hh-GxV6-Uf0TUJv9gSIV+g;100;3000;1261492;dec/MIPLIB/miplib2010/n3div36.0.s.opb;47305709;287823;1350985086;5336.49;134.76;250461;580;36782;-;;
5Ef+MF25ju72uiL9ViKMWQ;100;3000;1305280;dec/MIPLIB/miplib2010/n3div36.0.u.opb;35949135;154865;638919791;7442.20;153.94;136324;0;18541;-;;
0RFhLYhA0lbYmnQ5V-UnRg;100;3000;957268;dec/MIPLIB/miplib2010/n3seq24.0.s.opb;4614854;53573;142255605;8369.49;2768.77;13005;885;39683;-;;
YQTjCAT6+AWZkGxsam34gQ;100;3000;1879832;dec/MIPLIB/miplib2010/n3seq24.0.u.opb;6898572;97727;228280014;10278.23;2590.24;27029;1900;68798;-;;
