DzSTytYO-qihhwxuBOg3JQ;100;3000;1678352;dec/MIPLIB/miplib2010/d10200.1267.s.opb;UNKNOWN;0;0;0;0;-;;
FjA84V6lvKI3E64Ul4m7ug;100;3000;1678284;dec/MIPLIB/miplib2010/d10200.1267.u.opb;UNKNOWN;0;0;0;0;-;;
w5Q0TfNf3KdYrpCFbuedfw;20;1591.49;5905940;dec/MIPLIB/miplib2010/d20200.819.d.opb;SATISFIABLE;2;50937;336787;4403801124;-;;
8OrC0w-ryW6MFWgWqm3neQ;100;3000;9683684;dec/MIPLIB/miplib2010/datt256.0.d.opb;UNKNOWN;0;0;0;0;-;;
a5IM4CPCvYVkeSkE87GTZg;20;280.88;5296568;dec/MIPLIB/miplib2010/ds-big.0.d.opb;SATISFIABLE;3;129;294520;41339434;-;;
M8Q8ckr+X1fHmAHVFc6Nqg;100;3000;4849520;dec/MIPLIB/miplib2010/eil33-2.0.s.opb;UNKNOWN;0;0;0;0;-;;
xCUYN6QdDh27G1A6xg3wyA;100;3000;5090940;dec/MIPLIB/miplib2010/eil33-2.0.u.opb;UNKNOWN;0;0;0;0;-;;
3tHNNbykasYZmHg+k6UzNg;137;636.36;16239660;dec/MIPLIB/miplib2010/eilA101-2.0.s.opb;-;;
OInFX5+mxM4G59j7202xqw;137;595.91;16238200;dec/MIPLIB/miplib2010/eilA101-2.0.u.opb;-;;
8PUUFmySA84ZVovHXwV7mg;100;3000;3311140;dec/MIPLIB/miplib2010/eilB101.0.s.opb;UNKNOWN;0;0;0;0;-;;
FJ44xeGZMTJcMrCOZNcbJw;100;3000;3408164;dec/MIPLIB/miplib2010/eilB101.0.u.opb;UNKNOWN;0;0;0;0;-;;
MDsBa9HuHu8Cor6OtFGSRQ;20;0.3999999999999999;10772;dec/MIPLIB/miplib2010/ex1010-pi.0.d.opb;SATISFIABLE;1;0;1;0;-;;
dRH6eLe49t+VS-yNaSJI1Q;20;21.39;744312;dec/MIPLIB/miplib2010/ex9.0.s.opb;SATISFIABLE;1;41;111;630792;-;;
EibLW1P78HA1OvyI-6BIJA;20;22.02;738044;dec/MIPLIB/miplib2010/ex9.0.u.opb;UNSATISFIABLE;2;201;816;2307769;-;;
DE1HtfF4CtrVWxFrregkRw;100;3000;147324;dec/MIPLIB/miplib2010/f2000.0.d.opb;UNKNOWN;0;0;0;0;-;;
rwYgYU6BAiirc-r-0WY7LQ;100;3000;225404;dec/MIPLIB/miplib2010/go19.0.s.opb;UNKNOWN;0;0;0;0;-;;
kme-E0kwEUVenHdolqRCWg;20;2858.02;229032;dec/MIPLIB/miplib2010/go19.0.u.opb;UNSATISFIABLE;113998;14007144;20459327;2011099773;-;;
TGFPjPfkisE1qgEzRvzrYA;20;11.69;348228;dec/MIPLIB/miplib2010/hanoi5.0.s.opb;SATISFIABLE;188;24710;51497;1880013;-;;
DwDkr6hrZl57L2Zk58bStA;20;13.84;353256;dec/MIPLIB/miplib2010/hanoi5.0.u.opb;UNSATISFIABLE;71;20088;55459;24645919;-;;
PIv+SuT7zDa5uZYWPTMNEQ;20;23.63;30600;dec/MIPLIB/miplib2010/iis-100-0-cov.0.s.opb;SATISFIABLE;1491;384613;506810;50237123;-;;
9ZgOzSvFKeq-0jIjA5DlOw;100;3000;198800;dec/MIPLIB/miplib2010/iis-100-0-cov.0.u.opb;UNKNOWN;0;0;0;0;-;;
iZdb49wzZTqxwQ4HjupFtA;100;3000;172352;dec/MIPLIB/miplib2010/iis-bupa-cov.0.s.opb;UNKNOWN;0;0;0;0;-;;
GMj77nUqBNsvWAPLeYVe1Q;100;3000;193924;dec/MIPLIB/miplib2010/iis-bupa-cov.0.u.opb;UNKNOWN;0;0;0;0;-;;
